SESSION NAME:	Saddle Club_ep103
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	24 Frame
# OF AUDIO TRACKS:	24
# OF AUDIO CLIPS:	962
# OF AUDIO FILES:	416


M A R K E R S  L I S T I N G
#   	LOCATION     	TIME REFERENCE    	UNITS    	NAME                             	TRACK NAME                       	TRACK TYPE   	COMMENTS
114 	10:56:30:00  	1890720000        	Samples  	Location 114                     	Markers                          	Ruler                            	
115 	10:57:00:00  	1892160000        	Samples  	Location 115                     	Markers                          	Ruler                            	
116 	10:57:30:00  	1893600000        	Samples  	Location 116                     	Markers                          	Ruler                            	
117 	10:58:00:00  	1895040000        	Samples  	Location 117                     	Markers                          	Ruler                            	
118 	10:58:30:00  	1896480000        	Samples  	Location 118                     	Markers                          	Ruler                            	
119 	10:59:00:00  	1897920000        	Samples  	Location 119                     	Markers                          	Ruler                            	
120 	10:59:30:00  	1899360000        	Samples  	Location 120                     	Markers                          	Ruler                            	
121 	11:00:00:00  	1900800000        	Samples  	Location 121                     	Markers                          	Ruler                            	
122 	11:00:30:00  	1902240000        	Samples  	Location 122                     	Markers                          	Ruler                            	
123 	11:01:00:00  	1903680000        	Samples  	Location 123                     	Markers                          	Ruler                            	
124 	11:01:30:00  	1905120000        	Samples  	Location 124                     	Markers                          	Ruler                            	
125 	11:02:00:00  	1906560000        	Samples  	Location 125                     	Markers                          	Ruler                            	
126 	11:02:30:00  	1908000000        	Samples  	Location 126                     	Markers                          	Ruler                            	
127 	11:03:00:00  	1909440000        	Samples  	Location 127                     	Markers                          	Ruler                            	
128 	11:03:30:00  	1910880000        	Samples  	Location 128                     	Markers                          	Ruler                            	
129 	11:04:00:00  	1912320000        	Samples  	Location 129                     	Markers                          	Ruler                            	
130 	11:04:30:00  	1913760000        	Samples  	Location 130                     	Markers                          	Ruler                            	
131 	11:05:00:00  	1915200000        	Samples  	Location 131                     	Markers                          	Ruler                            	
132 	11:05:30:00  	1916640000        	Samples  	Location 132                     	Markers                          	Ruler                            	
133 	11:06:00:00  	1918080000        	Samples  	Location 133                     	Markers                          	Ruler                            	
134 	11:06:30:00  	1919520000        	Samples  	Location 134                     	Markers                          	Ruler                            	
135 	11:07:00:00  	1920960000        	Samples  	Location 135                     	Markers                          	Ruler                            	
136 	11:07:30:00  	1922400000        	Samples  	Location 136                     	Markers                          	Ruler                            	
137 	11:08:00:00  	1923840000        	Samples  	Location 137                     	Markers                          	Ruler                            	
138 	11:08:30:00  	1925280000        	Samples  	Location 138                     	Markers                          	Ruler                            	
139 	11:09:00:00  	1926720000        	Samples  	Location 139                     	Markers                          	Ruler                            	
207 	11:09:14:01  	1927394000        	Samples  	bis                              	Markers                          	Ruler                            	
140 	11:09:30:00  	1928160000        	Samples  	Location 140                     	Markers                          	Ruler                            	
141 	11:10:00:00  	1929600000        	Samples  	Location 141                     	Markers                          	Ruler                            	
142 	11:10:30:00  	1931040000        	Samples  	Location 142                     	Markers                          	Ruler                            	
143 	11:11:00:00  	1932480000        	Samples  	Location 143                     	Markers                          	Ruler                            	
144 	11:11:30:00  	1933920000        	Samples  	Location 144                     	Markers                          	Ruler                            	
145 	11:12:00:00  	1935360000        	Samples  	Location 145                     	Markers                          	Ruler                            	
146 	11:12:30:00  	1936800000        	Samples  	Location 146                     	Markers                          	Ruler                            	
147 	11:13:00:00  	1938240000        	Samples  	Location 147                     	Markers                          	Ruler                            	
148 	11:13:30:00  	1939680000        	Samples  	Location 148                     	Markers                          	Ruler                            	
149 	11:14:00:00  	1941120000        	Samples  	Location 149                     	Markers                          	Ruler                            	
